SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
396GS2022,Government of India,GS,100,100,1,3.96,10-NOV-2020,,09-NOV-2022,,,,,IN0020200260
426GS2023,Government of India,GS,100,100,1,4.26,18-MAY-2021,,17-MAY-2023,,,,,IN0020210046
448GS2023,Government of India,GS,100,100,1,4.48,03-NOV-2020,,02-NOV-2023,,,,,IN0020200211
509GS2022,Government of India,GS,100,100,1,5.09,15-APR-2020,,13-APR-2022,,,,,IN0020200021
515GS2025,Government of India,GS,100,100,1,5.15,10-NOV-2020,,09-NOV-2025,,,,,IN0020200278
522GS2025,Government of India,GS,100,100,1,5.22,16-JUN-2020,,15-JUN-2025,,,,,IN0020200112
563GS2026,Government of India,GS,100,100,1,5.63,13-APR-2021,,12-APR-2026,,,,,IN0020210012
577GS2030,Government of India,GS,100,100,1,5.77,04-AUG-2020,,03-AUG-2030,,,,,IN0020200153
579GS2030,Government of India,GS,100,100,1,5.79,12-MAY-2020,,11-MAY-2030,,,,,IN0020200070
585GS2030,Government of India,GS,100,100,1,5.85,02-DEC-2020,,01-DEC-2030,,,,,IN0020200294
617GS2021,GOVERNMENT OF INDIA,GS,100,100,1,6.17,16-JUL-2019,,15-JUL-2021,,,,,IN0020190099
618GS2024,Government of India,GS,100,100,1,6.18,05-NOV-2019,,04-NOV-2024,,,,,IN0020190396
619GS2034,Government of India,GS,100,100,1,6.19,02-JUN-2020,,16-SEP-2034,,,,,IN0020200096
622GS2035,Government of India,GS,100,100,1,6.22,03-NOV-2020,,16-MAR-2035,,,,,IN0020200245
645GS2029,Government of India,GS,100,100,1,6.45,09-OCT-2019,,07-OCT-2029,,,,,IN0020190362
664GS2035,Government of India,GS,100,100,1,6.64,13-APR-2021,,16-JUN-2035,,,,,IN0020210020
667GS2050,Government of India,GS,100,100,1,6.67,03-NOV-2020,,17-DEC-2050,,,,,IN0020200252
676GS2061,Government of India,GS,100,100,1,6.76,23-FEB-2021,,22-FEB-2061,,,,,IN0020200401
68GS2060,Government of India,GS,100,100,1,6.8,01-SEP-2020,,15-DEC-2060,,,,,IN0020200187
716GS2050,Government of India,GS,100,100,1,7.16,21-APR-2020,,20-SEP-2050,,,,,IN0020200054
719GS2060,Government of India,GS,100,100,1,7.19,15-APR-2020,,15-SEP-2060,,,,,IN0020200039
726GS2029,GOVERNMENT OF INDIA,GS,100,100,1,7.26,15-JAN-2019,,14-JAN-2029,,,,,IN0020180454
727GS2026,GOVERNMENT OF INDIA,GS,100,100,1,7.27,09-APR-2019,,08-APR-2026,,,,,IN0020190016
732GS2024,GOVERNMENT OF INDIA,GS,100,100,1,7.32,29-JAN-2019,,28-JAN-2024,,,,,IN0020180488
757GS2033,GOVERNMENT OF INDIA,GS,100,100,1,7.57,21-MAY-2019,,17-JUN-2033,,,,,IN0020190065
762GS2039,GOVERNMENT OF INDIA,GS,100,100,1,7.62,09-APR-2019,,15-SEP-2039,,,,,IN0020190024
763GS2059,GOVERNMENT OF INDIA,GS,100,100,1,7.63,07-MAY-2019,,17-JUN-2059,,,,,IN0020190057
769GS2043,GOVERNMENT OF INDIA,GS,100,100,1,7.69,02-MAY-2019,,17-JUN-2043,,,,,IN0020190040
772GS2049,GOVERNMENT OF INDIA,GS,100,100,1,7.72,16-APR-2019,,15-JUN-2049,,,,,IN0020190032
BRITANNIA,Britannia Industries Limited,N2,30,30,1,8,09-OCT-2019,,28-AUG-2022,,,,,INE216A07052
DHANILOANS,Dhani Loans and Services Limited,N3,1000,1000,1,10.4,12-MAR-2019,,08-MAY-2022,,,,,INE614X07043
DHANILOANS,Dhani Loans and Services Limited,N4,1000,1000,1,10.9,12-MAR-2019,,08-MAY-2022,,,,,INE614X07050
DHANILOANS,Dhani Loans and Services Limited,N5,1000,1000,1,0,12-MAR-2019,,08-MAY-2022,,,,,INE614X07068
DHANILOANS,Dhani Loans and Services Limited,N6,1000,1000,1,10.5,12-MAR-2019,,08-MAR-2024,,,,,INE614X07076
DHANILOANS,Dhani Loans and Services Limited,N7,1000,1000,1,11,12-MAR-2019,,08-MAR-2024,,,,,INE614X07084
DHANILOANS,Dhani Loans and Services Limited,N8,1000,1000,1,0,12-MAR-2019,,08-MAR-2024,,,,,INE614X07092
DHANILOANS,Dhani Loans and Services Limited,NC,1000,1000,1,9.95,01-JUL-2019,,27-JUN-2022,,,,,INE614X07159
DHANILOANS,Dhani Loans and Services Limited,ND,1000,1000,1,10.41,01-JUL-2019,,27-JUN-2022,,,,,INE614X07167
DHANILOANS,Dhani Loans and Services Limited,NE,1000,1000,1,0,01-JUL-2019,,27-JUN-2022,,,,,INE614X07175
DHANILOANS,Dhani Loans and Services Limited,NF,1000,1000,1,10.13,01-JUL-2019,,27-JUN-2024,,,,,INE614X07183
DHANILOANS,Dhani Loans and Services Limited,NG,1000,1000,1,10.61,01-JUL-2019,,27-JUN-2024,,,,,INE614X07191
DHANILOANS,Dhani Loans and Services Limited,NH,1000,1000,1,0,01-JUL-2019,,27-JUN-2024,,,,,INE614X07209
DHANILOANS,Dhani Loans and Services Limited,NJ,1000,1000,1,10.12,11-SEP-2019,,06-SEP-2021,,,,,INE614X07225
DHANILOANS,Dhani Loans and Services Limited,NK,1000,1000,1,0,11-SEP-2019,,06-SEP-2021,,,,,INE614X07233
