ISIN,Description,Maturity Date
INE137G07073,DECCAN CHRONICLE HOLDINGS LTD 8.25 NCD 14SP15 FVRS10LAC LOA UPTO 25SP05 - Defaulted in Redemption,14-09-2015
INE871D07GJ5,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD 7.8 NCD 01MR21 FVRS1000 LOA UPTO 26FB07 - Defaulted in Redemption,01-03-2021
INE137G07065,DECCAN CHRONICLE HOLDINGS LTD 8 NCD 29JU12 FVRS10LAC LOA UPTO 10JL05 - Defaulted in Redemption,29-06-2012
INE137G07537,DECCAN CHRONICLE HOLDINGS LTD 12 LOA 14NV13 FVRS1CR - Defaulted in Redemption,14-11-2013
INE202B07456,DEWAN HOUSING FINANCE CORPORATION LIMITED 10.05 NCD 14SP19 FVRS10LAC - Defaulted in Redemption,14-09-2019
INE564G07334,DEWAN HOUSING FINANCE CORP. LTD. 9.8 NCD 13NV19 FVRS10LAC LOA UPTO 03FB10 - Defaulted in Redemption,13-11-2019
INE564G08084,DEWAN HOUSING FINANCE CORP. LTD. 9.97 NCD 08JN20 FVRS10LAC LOA UPTO 21MR10 - Defaulted in Redemption,08-01-2020
INE564G08092,DEWAN HOUSING FINANCE CORP. LTD. 9.97 NCD 15JN20 FVRS10LAC LOA UPTO 21MR10 - Defaulted in Redemption,15-01-2020
INE564G08100,DEWAN HOUSING FINANCE CORP. LTD. 9.8 NCD 21FB20 FVRS10LAC LOA UPTO 21MR10 - Defaulted in Redemption,21-02-2020
INE564G08118,DEWAN HOUSING FINANCE CORP. LTD. 9.85 NCD 27AP20 FVRS10LAC LOA UPTO 18JL10 - Defaulted in Redemption,27-04-2020
INE538F07116,ESSAR POWER LIMITED 11.25 NCD 31MR18 FVRS400000 LOA UPTO 16MY11 - Defaulted in Redemption,31-03-2018
INE538F07124,ESSAR POWER LIMITED 10.25 NCD 31MR18 FVRS700000 LOA UPTO 16MY11 - Defaulted in Redemption,31-03-2018
INE871D07MC8,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD 9.2 NCD 24DC20 FVRS1000 LOA UPTO 30OT11 - Defaulted in Redemption,24-12-2020
INE871D07ME4,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD 9.7 NCD 22FB21 FVRS1000 LOA UPTO 30OT11,22-02-2021
INE122H07073,TULIP TELECOM LIMITED 12.5 LOA 03OT16 FVRS10LAC - Defaulted in Redemption,03-10-2016
INE122H07065,TULIP TELECOM LIMITED 12.5 LOA 03AP17 FVRS10LAC - Defaulted in Redemption,03-04-2017
INE122H07057,TULIP TELECOM LIMITED 12.5 LOA 03OT17 FVRS10LAC - Defaulted in Redemption,03-10-2017
INE013A07NU3,RELIANCE CAPITAL LIMITED 10.28 NCD 30NV19 FVRS10LAC LOA UPTO 27FB12 - Defaulted in Redemption,30-11-2019
INE122H07081,TULIP TELECOM LIMITED SR-I  12.75 LOA 30DC15 FVRS1LAC - Defaulted in Redemption,30-12-2015
INE122H07099,TULIP TELECOM LIMITED SR-II  12.75 LOA 30DC16 FVRS1LAC - Defaulted in Redemption,30-12-2016
INE122H07107,TULIP TELECOM LIMITED SR-III   12.75 LOA 30DC17 FVRS1LAC - Defaulted in Redemption,30-12-2017
INE137G07362,DECCAN CHRONICLE HOLDINGS LTD 10 LOA 17DC12 FVRS10LAC - Defaulted in Redemption,17-12-2012
INE137G07370,DECCAN CHRONICLE HOLDINGS LTD 10 LOA 17DC13 FVRS10LAC - Defaulted in Redemption,17-12-2013
INE122H07115,TULIP TELECOM LIMITED SR-IV  12.75 LOA 06FB16 FVRS1LAC - Defaulted in Redemption,06-02-2016
