SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
AILIMITED,Abhishek Integrations Limited,SM,21-Jun-21,10,INE0CAJ01017,10,
VMARCIND,V Marc India Limited,SM,09-Apr-21,10,INE0GXK01018,10,
SIDDHIKA,Siddhika Coatings Limited,SM,07-Apr-21,10,INE0A1E01018,10,
PAVNAIND,Pavna Industries Limited,SM,09-Mar-21,10,INE07S101020,10,
PARTYCRUS,Party Cruisers Limited,SM,05-Mar-21,10,INE06ZX01015,10,
BTML,Bodhi Tree Multimedia Limited,SM,21-Oct-20,10,INE0EEJ01015,10,
SIGMA,Sigma Solve Limited,SM,19-Oct-20,10,INE0A0S01010,10,
ATALREAL,Atal Realtech Limited,SM,15-Oct-20,10,INE0ALR01011,10,
AAATECH,Aaa Technologies Limited,SM,13-Oct-20,10,INE0D0U01013,10,
KSOLVES,Ksolves India Limited,SM,06-Jul-20,10,INE0D6I01015,10,
LGHL,Laxmi Goldorna House Limited,SM,16-Apr-20,10,INE258Y01016,10,
HPIL,Hindprakash Industries Limited,SM,27-Jan-20,10,INE05X901010,10,
VCL,Vaxtex Cotfab Limited,SM,13-Jan-20,10,INE098201010,10,
DCI,DC Infotech and Communication Limited,SM,27-Dec-19,10,INE0A1101019,10,
ASCOM,Ascom Leasing & Investments Limited,SM,06-Dec-19,10,INE08KD01015,10,
SONAHISONA,Sona Hi Sona Jewellers (Gujarat) Limited,SM,15-Oct-19,10,INE06MH01016,10,
SHIVAUM,Shiv Aum Steels Limited,SM,01-Oct-19,10,INE719F01016,10,
SECL,Salasar Exteriors and Contour Limited,SM,12-Sep-19,10,INE00Y701018,10,
WFL,Wonder Fibromats Limited,SM,06-Aug-19,10,INE02WG01016,10,
ABINFRA,A B Infrabuild Limited,SM,12-Jul-19,10,INE00YB01017,10,
PAR,Par Drugs and Chemicals Limited,SM,16-May-19,10,INE04LG01015,10,
KHFM,Khfm Hospitality And Facility Management Services Limited,SM,12-Apr-19,10,INE00UG01014,10,
OSIAHYPER,Osia Hyper Retail Limited,SM,05-Apr-19,10,INE06IR01013,10,
MINDPOOL,Mindpool Technologies Limited,SM,28-Feb-19,10,INE00RQ01019,10,
SURANI,Surani Steel Tubes Limited,SM,06-Feb-19,10,INE01ZJ01015,10,
DRSDILIP,DRS Dilip Roadlines Limited,SM,10-Dec-18,10,INE02CV01017,10,
SHUBHLAXMI,Shubhlaxmi Jewel Art Limited,SM,04-Dec-18,10,INE01Z401013,10,
UWCSL,Ultra Wiring Connectivity System Limited,SM,26-Oct-18,10,INE00F301010,10,
BBTCL,B&B Triplewall Containers Limited,SM,15-Oct-18,10,INE01EE01011,10,
VINNY,Vinny Overseas Limited,SM,11-Oct-18,10,INE01KI01019,10,
KRITIKA,Kritika Wires Limited,SM,10-Oct-18,10,INE00Z501011,10,
PARIN,Parin Furniture Limited,SM,09-Oct-18,10,INE00U801010,10,
KSHITIJPOL,Kshitij Polyline Limited,SM,08-Oct-18,10,INE013801019,10,
SPECTRUM,Spectrum Electrical Industries Limited,SM,01-Oct-18,10,INE01EO01010,10,
RPPL,Rajshree Polypack Limited,SM,24-Sep-18,10,INE760W01015,10,
