SYMB_COMPANY_NAME, SM_KEY_SYMBOL, SM_NEW_SYMBOL, SM_APPLICABLE_FROM
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E -  GO,RDAXEDG,NDAXEDG,30-OCT-2019
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E - DPO,RDAXEDD,NDAXEDD,30-OCT-2019
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E-DPGO,RDAXEDDG,NDAXEDDG,30-OCT-2019
 NIPPON INDIA MF-NIPPON INDIA Dual Advantage FTF Sr.x Plan E- DP- DPO,RDAXEDDD,NDAXEDDD,30-OCT-2019
3M India Limited,BIRLA3M,3MINDIA,15-JUN-2004
3P Land Holdings Limited,PDUMJEIND,3PLAND,04-MAY-2018
3P Land Holdings Limited,PDUMJEAGRO,PDUMJEIND,28-MAR-2008
63 moons technologies limited,FINANTECH,63MOONS,19-JAN-2017
A2Z Infra Engineering Limited,A2ZMES,A2ZINFRA,31-DEC-2014
AGC Networks Limited,AVAYAGCL,AGCNET,08-JUN-2010
AGC Networks Limited,TATATELECM,AVAYAGCL,01-NOV-2004
AMD Industries Limited,AMDMET,AMDIND,25-FEB-2008
ANDHRA PAPER LIMITED,ANDPAPER,ANDHRAPAP,05-MAR-2020
ANDHRA PAPER LIMITED,IPAPPM,ANDPAPER,22-JAN-2020
ANDHRA PAPER LIMITED,APPAPER,IPAPPM,21-JAN-2014
ANG Industries Limited,ANGAUTO,ANGIND,16-JUN-2010
ATN International Limited,ARIHANTCRE,ATNINT,17-SEP-2003
AVRO INDIA LIMITED,AVONMPL,AVROIND,01-NOV-2019
AXISCADES Technologies Limited,AXIS-IT&T,AXISCADES,08-OCT-2014
AXISCADES Technologies Limited,IT&T,AXIS-IT&T,16-AUG-2005
AYM Syntex Limited,WELSYNTEX,AYMSYNTEX,03-FEB-2016
Aban Offshore Limited,ABANLOYD,ABAN,18-AUG-2006
Aban Offshore Limited,ABANLLOYD,ABANLOYD,17-JAN-2005
Abhishek Corporation Limited,AML,ABHISHEK,26-JUN-2008
Accelya Solutions India Limited,KALECONSUL,ACCELYA,06-SEP-2012
Adani Enterprises Limited,ADANIEXPO,ADANIENT,20-SEP-2006
Adani Ports and Special Economic Zone Limited,MUNDRAPORT,ADANIPORTS,17-JAN-2012
Adani Total Gas Limited,ADANIGAS,ATGL,13-JAN-2021
Aditya Birla Chemicals (India) Limited,BCCL,ABCIL,09-MAR-2009
Aditya Birla Chemicals (India) Limited,BIHARCAUST,BCCL,05-DEC-2005
Aditya Birla Fashion and Retail Limited,PFRL,ABFRL,29-JAN-2016
Aditya Birla Money Limited,APOLLOSIND,BIRLAMONEY,09-SEP-2009
Aditya Birla Nuvo Limited,INDRAYON,ABIRLANUVO,07-DEC-2005
Ador Welding Limited,ADVANIORLI,ADORWELD,27-SEP-2004
Adroit Infotech Limited,SPHEREGSL,ADROITINFO,19-APR-2018
Adroit Infotech Limited,COLORCHIPS,SPHEREGSL,13-OCT-2015
Adroit Infotech Limited,ARHAMFISCL,COLORCHIPS,04-APR-2006
Advani Hotels & Resorts (India) Limited,RAMADHOTEL,ADVANIHOTR,25-JUN-2007
Aftek Limited,AFTEKINFO,AFTEK,27-NOV-2006
Agro Tech Foods Limited,ITCAGRO,ATFL,31-DEC-2002
Ajmera Realty & Infra India Limited,SHREE,AJMERA,23-JUN-2009
Akzo Nobel India Limited,ICI,AKZOINDIA,27-MAY-2010
Alembic Limited,ALMBICHEM,ALEMBICLTD,22-SEP-1999
Alicon Castalloy Limited,ENKEI,ALICON,04-MAR-2011
Ambuja Cement Rajasthan Limited,DLFCEMENT,AMBUJARAJN,20-AUG-2001
Ambuja Cements Limited,GUJAMBCEM,AMBUJACEM,24-JUL-2007
